# /Users/meg/haus/deutsch/VOC/VERBEN
Q,A,R,F
auflegen, 電話を切る , 0, 0
potenzieren, 高める 強める , 0, 0
überlassen, 任せる , 0, 0
erlassen, 免除する 発布する , 0, 0
anordnen, 命じる 指示する , 0, 0
zusamenhalten, 団結する まとめる , 0, 0
erblicken, 目にする , 0, 0
ansprechen, 話しかける 訴える , 0, 0
anführen, 引用する 率いる , 0, 0
hereinbrechen, 押し寄せる 襲来する , 0, 0
aufmotzten, 飾り立てる 改造する , 0, 0
hochtraben, 偉そうに振る舞う , 0, 0
blenden, 目をくらます , 0, 0
zurückstecken, 控えめにする , 0, 0
tingeln, ショウをしながら旅回りをする , 0, 0
büßen, 罰を受ける , 0, 0
gedeihen, 繁栄する 成長する , 0, 0
züchten, 栽培する 飼育する , 0, 0
versehen, 装備する 備える , 0, 0
beauftragen, 任命する 依頼する , 0, 0
hinweisen, 指摘する 示唆する , 0, 0
auswerten, 分析する 評価する , 0, 0
entgegenwirken, 対抗する 反対する , 0, 0
unterlegen, 劣っている , 0, 0
zügeln, 抑える 制御する , 0, 0
befassen, 取り組む 関与する , 0, 0
wähnen, 思い込む 錯覚する , 0, 0
aufhalten, 引き止める 阻止する , 0, 0
beiliefern, 供給する 配送する , 0, 0
einwenden, 異議を唱える 反対する , 0, 0
versogen, 供給する 世話をする , 0, 0
abraten, 忠告する やめるように勧める , 0, 0
ausstatten, 装備する 備える , 0, 0
vorliegenen, 存在する 提出される , 0, 0
einbeziehen, 含める 取り入れる , 0, 0
angehen, に関わる 取り組む 対処する , 0, 0
erbitten, 要請する 頼む , 0, 0
hindeuten, 示唆する 暗示する , 0, 0
aufstocken, 増やす 追加する , 0, 0
unterlaufen, 避ける 潜り抜ける , 0, 0
beanstanden, 異議を唱える 苦情を言う , 0, 0
andeuten, 暗示する ほのめかす , 0, 0
vertrösten, 待たせる 期待を持たせる , 0, 0
verdrängen, 追い出す 抑圧する , 0, 0
einbeziehen, 〜を含める , 0, 0
auf zählen, を当てにする , 0, 0
einschlagen, ある道を選んで進む , 0, 0
erheben, 公的に調査する , 0, 0
ausspüren, 才能を見つけ出す かぎつける , 0, 0
purzeln, 転げ落ちる , 0, 0
verwerfen, はねつける 拒否する , 0, 0
aufzeigen, はっきり示す 指摘する , 0, 0
aufwerfen, 問題を提起する 議論にかける , 0, 0
ausstechen, 打ち勝つ , 0, 0
weichen, 離れる 消え去る なくなる , 0, 0
beschaffen, の状態である , 0, 0
einhergehen, 通り過ぎる 歩き回る 病気が熱などをともなう , 0, 0
konstatieren, 気づく 断言する 確認する 突き止める , 0, 0
preisen, 褒める , 0, 0
sich preisen, 自賛する , 0, 0
abverlangen, 厚かましくも要求する , 0, 0
vorherrschen, 支配的である 優勢である , 0, 0
aussenden, 放射する 派遣する , 0, 0
aufbringen, 調達する 激昂させる 流布させる ぬる , 0, 0
heranführen, 近くに持ってくる , 0, 0
anstehen, 並んでまつ 未処理のまま残っている 似合う , 0, 0
ausdrehen, スイッチを切る , 0, 0
ausdehnen, 延長する 広げる , 0, 0
sich ausdehnen, 広がる , 0, 0
einrasten, 歯車などが噛み合う 掛け金がかかる , 0, 0
aufnehmen, 迎え入れる , 0, 0
sich entscließ zu, 決心を固める , 0, 0
sich entscheiden, 決定する , 0, 0
überlassen, 任せる 委ねる , 0, 0
ausgehen von, に由来する , 0, 0
anregen zu, に刺激を与える , 0, 0
adresieren an, への宛先を当てる , 0, 0
zählen zu, の一つに数えられる , 0, 0
verleiten zu, に誘惑する , 0, 0
verheimlichen vor, を隠す 秘密にする , 0, 0
sich vertragen mit, 仲良くやっていく , 0, 0
sich versetzten in, の身になってみる , 0, 0
sich umstellen auf, に切り替わる 順応する , 0, 0
sich täuschen in, の思い違いをする , 0, 0
sich einsetzen für, のために努力尽力する , 0, 0
sich einstellen auf, に順応する , 0, 0
raten zu, 何々を助言する , 0, 0
handeln von, 事柄を扱う , 0, 0
handeln mit, ものを扱う , 0, 0
halten für, とみなす , 0, 0
halten von, 重視する 無視する , 0, 0
auffordern zu, を頼む 要求する , 0, 0
fordern von, を要求する , 0, 0
befördern zu, 昇進させる , 0, 0
ernennen zu, に任命する , 0, 0
bringen zu, の状態にする , 0, 0
beharren auf, 固執する 主張して譲らない , 0, 0
abbringen von, 思いとどまらせる 取り除く , 0, 0
ausklingen, 終わる , 0, 0
hartnäckig, 頑固な 強情な しつこい , 0, 0
sich überwinden, 気持ちを克服する , 0, 0
sich verständigten, 合意する , 0, 0
sich äußern, 意見を述べる , 0, 0
besorgen, 手に入れる , 0, 0
ausschimpfen, ガミガミいう ののしる , 0, 0
wippen, シーソーで遊ぶ 上下させる , 0, 0
zappeln, 体をばたつかせる , 0, 0
grauen, 怖がる , 0, 0
faulenzen, のんびり過ごす , 0, 0
fesseln, 縛る 拘束する 魅了する 惹きつける , 0, 0
applieren, 訴えかける , 0, 0
vorgehen, 前進する 先に行く 起こる 行動する , 0, 0
verwickeln, 巻き込む , 0, 0
lagern, 寝る しまってある , 0, 0
wirken, 働く 印象を与える 作用を及ぼす 編む , 0, 0
widersprechen, 矛盾する 反論する , 0, 0
einführen, 導入する , 0, 0
hinstellen, 置く みなす , 0, 0
erwähnen, 言及する , 0, 0
herunterkommen, 衰弱する 落ぶれる , 0, 0
trödeln, ぐずぐずする , 0, 0
vermitteln, 知らせる 伝える , 0, 0
ablösen, 入れ替わる , 0, 0
mampfen, もぐもぐ食べる , 0, 0
lindern, 和らげる , 0, 0
vornehmen, する 行う , 0, 0
verunreinigen, 大気・水などを汚染する , 0, 0
beeinträchtigen, 損なう 妨げる , 0, 0
verschlungen, 飲み込まれた 夢中になる , 0, 0
befassen, 取り組む 扱う , 0, 0
erwähnen, 言及する , 0, 0
fixieren, 決定する 固定する , 0, 0
preisen, 褒める , 0, 0
zweifeln an, 疑念を抱く , 0, 0
nachgeben, 下落する , 0, 0
hervorgehen, , 0, 0
anhalten, 止まる 持続する , 0, 0
absehen, 見通す 予測する 見て覚える , 0, 0
zersplittern, 粉々に砕く 分散させる , 0, 0
verschaffen, 手に入れる , 0, 0
abkoppeln, 切り離す , 0, 0
seinerzeit, その頃 , 0, 0
auffallen, 目立つ , 0, 0
wiedergeben, 再生する 表現する 複写する , 0, 0
vorgehen, 行動する , 0, 0
stemmen, 重いものを頭上に持ち上げる , 0, 0
büffeln, 詰め込み勉強をする , 0, 0
versagen, 失敗する , 0, 0
kreieren, 創造する 創案する , 0, 0
versetzen, 移動させる 位置を変える の状態にする , 0, 0
eindringen, 侵入する 入り込む , 0, 0
dringen, 押し進む 染み透る 到達する , 0, 0
dringen auf, あくまで主張する , 0, 0
umgeben, 囲む , 0, 0
schleifen, 磨く 研ぐ , 0, 0
wagen, 危険や困難を冒す あえてやる , 0, 0
fordern, 要求する , 0, 0
fördern, 援助する , 0, 0
bestaunen, 驚嘆する , 0, 0
schürfen, 採掘される , 0, 0
umranken, 巻きつく , 0, 0
beeinträchtigen, 妨げる 損なう , 0, 0
eingreifen, 介入する 侵害する , 0, 0
verzeichen, 許す 容赦する , 0, 0
vertrauen, 信頼する , 0, 0
trauen, 信用する , 0, 0
vergeben, 許す , 0, 0
missfallen, 気に入らない , 0, 0
hinterherlaufen, 急いで走って追いかける しつこく追い回す , 0, 0
gehorchen, 従う , 0, 0
vorziehen, 好む 贔屓にする , 0, 0
endgegenkommen, 譲歩する , 0, 0
beitreten, 入会する , 0, 0
ausweichen, かわす 回避する , 0, 0
ähneln, 似ている , 0, 0
abraten von, 思いとどまるように説得する , 0, 0
versäumen, のがす おざなりにする , 0, 0
gelingen, 成功する -> gelungen , 0, 0
gelangen, 達する -> gealngt , 0, 0
